text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,screenName,retweetCount
"RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",FALSE,0,NA,23-11-2016 18:32,FALSE,NA,8.01494E+17,NA,PontiFukEx,20
RT @AAPVind: #Demonetization Is Disaster!  @naam_pk,FALSE,0,NA,23-11-2016 18:31,FALSE,NA,8.01493E+17,NA,sehgal_indian,7
RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,FALSE,0,NA,23-11-2016 18:31,FALSE,NA,8.01493E+17,NA,BoscoUnchained,66
"RT @Gadgets360: After the #demonetization, searches about #NarendraModi's app are trending on app stores https://t.co/ZetKRqqClX",FALSE,0,NA,23-11-2016 18:31,FALSE,NA,8.01493E+17,NA,meghnabasu2,11
"RT @_avenu: Teacher: is there anybody who is absent today?
(No response )
Teacher says 100% attendance 
#Demonetization #App #survey
@DonMu…",FALSE,0,NA,23-11-2016 18:31,FALSE,NA,8.01493E+17,NA,trollabhakt,6
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",FALSE,0,NA,23-11-2016 18:31,FALSE,NA,8.01493E+17,NA,manni_1986,76
RT @mayankjain100: #demonetization is Communal and Black Money is Secular...,FALSE,0,NA,23-11-2016 18:30,FALSE,NA,8.01493E+17,NA,GHOSTBUSTOR,1
LOL. #Demonetization Effect. https://t.co/aA5lfy9ALG,FALSE,0,NA,23-11-2016 18:28,FALSE,NA,8.01493E+17,NA,sradeep_d,0
"RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",FALSE,0,NA,23-11-2016 18:27,FALSE,NA,8.01492E+17,NA,kvQuote,20
RT roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o… https://t.co/TPYJgXFBY8,FALSE,0,NA,23-11-2016 18:27,FALSE,NA,8.01492E+17,NA,AnandMiishra,0
"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",FALSE,0,NA,23-11-2016 18:26,FALSE,NA,8.01492E+17,NA,CineMaakiKasam,95
@arunjaitley @narendramodi Lrnd frm a frnd-Banks r asking employees to comeback 2sales &amp; BAU Operations #Demonetization,FALSE,0,arunjaitley,23-11-2016 18:26,FALSE,NA,8.01492E+17,2183816041,navsinfosec,0
RT @kanimozhi: Ts is exactly what Pappu &amp; opposition has done to themselves by opposing #Demonetization Now none can stop Modi bandwagon ti…,FALSE,0,NA,23-11-2016 18:26,FALSE,NA,8.01492E+17,NA,RN_BJP,41
"RT @roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t…",FALSE,0,NA,23-11-2016 18:26,FALSE,NA,8.01492E+17,NA,mukeshrai881,9
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",FALSE,0,NA,23-11-2016 18:25,FALSE,NA,8.01492E+17,NA,prateek1013,76
@dineshgrao you have 12.5 k followers yet you are not getting enough likes for your tweets against #demonetization. You need to introspect.,FALSE,0,dineshgrao,23-11-2016 18:25,FALSE,NA,8.01492E+17,347102273,ShankareGowdaM,0
"#DeMonetization Effect : Visa, Master Card, Amex all Accepted :) https://t.co/ozDwcPKjaI",FALSE,0,NA,23-11-2016 18:25,FALSE,NA,8.01492E+17,NA,zailetblog,0
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",FALSE,0,NA,23-11-2016 18:24,FALSE,NA,8.01492E+17,NA,draksbond,76
"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",FALSE,0,NA,23-11-2016 18:24,FALSE,NA,8.01492E+17,NA,kmvatreni1,59
"RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",FALSE,0,NA,23-11-2016 18:24,FALSE,NA,8.01492E+17,NA,PramodKr7227,12
RT @rohanmlw: #demonetization eye opener video bt i doubt as few jurnos don't want2 hear +ve of @narendramodi @sardesairajdeep @ravishndtv…,FALSE,0,NA,23-11-2016 18:24,FALSE,NA,8.01492E+17,NA,neelmani1980,4
RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,FALSE,0,NA,23-11-2016 18:24,FALSE,NA,8.01492E+17,NA,smsivanesan,30
RT @nmleo1: Is #ModiSarkar 's #achedin campaign on #demonetization a #goebbelsian #masterstroke that turns blind eye to #GroundZero shocks?…,FALSE,0,NA,23-11-2016 18:24,FALSE,NA,8.01492E+17,NA,JOYEEE990,1
RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,FALSE,0,NA,23-11-2016 18:24,FALSE,NA,8.01492E+17,NA,n2r3ndr2,30
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",FALSE,0,NA,23-11-2016 18:24,FALSE,NA,8.01492E+17,NA,aakuraj,76
#demonetization is Communal and Black Money is Secular...,FALSE,0,NA,23-11-2016 18:23,FALSE,NA,8.01491E+17,NA,mayankjain100,1
"RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",FALSE,0,NA,23-11-2016 18:23,FALSE,NA,8.01491E+17,NA,ceradevcera,20
RT @nmleo1: @MinhazMerchant #demonetization hardly affects tax dodgers &amp; #NETAS who excel in #CashlessCorruption &amp; have multiplied bad weal…,FALSE,0,NA,23-11-2016 18:23,FALSE,NA,8.01491E+17,NA,JOYEEE990,1
"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",FALSE,0,NA,23-11-2016 18:23,FALSE,NA,8.01491E+17,NA,twety_swety,95
"Section 144 issued by District Magistrate, #Indore prohibiting #socialmedia posts on #demonetization, Why??
#citizen https://t.co/5Tn7aNBTsi",FALSE,0,NA,23-11-2016 18:23,FALSE,NA,8.01491E+17,NA,ESchool_India,0
RT @pGurus1: CPI-M opposes Co-op Banks in West Bengal but supports them in Kerala! Y Pawar U-turned on #Demonetization https://t.co/ThzaV7r…,FALSE,0,NA,23-11-2016 18:22,FALSE,NA,8.01491E+17,NA,InnovativeHindu,29
